ORIGSYSREF,BBSTATUS,FTBIND,ORDERDATE,COUNTRYCODE,ORDERS,REVENUE_NET_USD_CONS_CURR,SALESCHANNEL,TP_DATE,TX_DEVICE,CHANNELS,SOURCE,MEDIUM,CAMPAIGN,COEFFICIENTS,TP_WEIGHT,WEIGHTED_COEFFICIENTS,Total_coeff,Normalized_coeff,Normalized_Revenue
ONUE3LU-60X54-2F9,INITIAL,0,09/06/25,US,1,721.19,TM,23/05/25,non-digital,MO_Returning Sampled,mo_returning sampled,mo_returning sampled,mo_returning sampled,0.073459716,1,0.073459716,0.118009479,0.62248996,448.9335341
ONUE3LU-60X54-2F9,INITIAL,0,09/06/25,US,1,721.19,TM,30/05/25,non-digital,MO_Returning Sampled,mo_returning sampled,mo_returning sampled,mo_returning sampled,0.073459716,1.00E-10,7.35E-12,0.118009479,6.22E-11,4.49E-08
ONUE3LU-60X54-2F9,INITIAL,0,09/06/25,US,1,721.19,TM,04/06/25,non-digital,TM_LEAD,tm_lead,tm_lead,tm_lead,0.044549763,1,0.044549763,0.118009479,0.37751004,272.2564658
ONUE3LU-60X54-2F9,INITIAL,0,09/06/25,US,1,721.19,TM,06/06/25,non-digital,MO_Returning Non-Sampled,mo_returning non-sampled,mo_returning non-sampled,mo_returning non-sampled,0.092417062,1.00E-10,9.24E-12,0.118009479,7.83E-11,5.65E-08
ONDT1FJ-00B53-6G2,INITIAL,0,21/07/25,US,1,1074.07,MO,11/07/25,non-digital,MO_Returning Sampled,mo_returning sampled,mo_returning sampled,mo_returning sampled,0.073459716,1,0.073459716,0.073459716,1,1074.07
ONWH1RX-86D11-4X0,INITIAL,0,02/04/25,US,1,221.85,WB,31/03/25,desktop,Paid Search - NonBrand,google,cpc,NB-Writing-Pens,0.060187249,1,0.060187249,0.060187713,0.999992296,221.8482909
ONWH1RX-86D11-4X0,INITIAL,0,02/04/25,US,1,221.85,WB,02/04/25,desktop,EMAIL_TX,email,art_review,logo_unchanged_us,0.046366473,1.00E-05,4.64E-07,0.060187713,7.70E-06,0.001709054
ONGQ2CP-53C50-7E7,INITIAL,0,15/07/25,US,1,289.69,WB,15/07/25,non-digital,WEB INBOUND,web_inbound,web_inbound,web_inbound,0.077251185,1,0.077251185,0.290521327,0.265905383,77.03013051
ONGQ2CP-53C50-7E7,INITIAL,0,15/07/25,US,1,289.69,WB,15/07/25,non-digital,TM_OTHERS,tm_others,tm_others,tm_others,0.213270142,1,0.213270142,0.290521327,0.734094617,212.6598695
ONSC5HC-02L17-1P2,INITIAL,0,23/01/26,US,1,141.74,WB,22/01/26,desktop,MO_Returning Sampled,mo_returning sampled,mo_returning sampled,mo_returning sampled,0.024520731,1.00E-10,2.45E-12,0.067766384,3.62E-11,5.13E-09
ONSC5HC-02L17-1P2,INITIAL,0,23/01/26,US,1,141.74,WB,23/01/26,desktop,Paid Search - Brand,bing,cpc,Brand-US-T2-General,0.067766384,1,0.067766384,0.067766384,1,141.74
